date,0:00:00,1:00:00,2:00:00,3:00:00,4:00:00,5:00:00,6:00:00,7:00:00,8:00:00,9:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2018-01-01,498.8497107,568.7227828,571.9766006,565.6851158,557.7678549999999,538.9972155,503.92015939999993,501.8800839,409.5040786,348.65871239999996,283.38998239999995,270.50622880000003,237.2800176,192.71794619999997,162.3928647,152.2372409,135.1137626,154.24536609999998,91.01674454,89.07260266,136.065144,134.2857794,136.52573610000002,136.8583968
2018-01-02,138.68298180000002,138.6872309,138.587451,137.0973392,147.3892174,171.46934330000002,181.2415435,190.67331000000001,188.9132159,144.55775069999999,157.5865033,185.3380813,240.37201409999997,248.2588867,254.3364753,231.99337680000002,248.4000366,208.9500617,123.01913540000001,160.19337919999998,166.04480980000002,184.9970827,220.21162900000002,283.9949586
2018-01-03,276.0292677,392.1310195,227.46421469999999,183.0009563,179.6815947,259.1464826,313.5830097,280.5309725,272.0147695,283.8582545,278.30503339999996,259.2474157,252.7517544,210.5243412,221.7862161,213.83358900000002,217.2644961,241.3656205,391.28919460000003,299.89519260000003,290.2555455,404.35642310000003,378.39515510000007,417.82312060000004
2018-01-04,367.4636486,409.2698341,286.10996600000004,255.04403399999998,247.1858637,276.6713405,231.2930239,195.3667632,156.42582209999998,173.0287519,172.2364491,169.6743767,185.5182551,208.0479672,200.99914280000002,214.3164484,188.0897189,143.846772,152.8496706,190.1706106,213.50069269999997,229.9179474,230.9900195,283.03231170000004
2018-01-05,232.2903881,220.27997299999998,161.3653655,136.9247019,134.8061854,133.2333367,128.3508666,122.98847279999998,121.9823101,106.6871479,126.8091375,139.2559546,190.456757,243.4036955,247.02677400000002,248.54316749999998,239.24010750000002,224.64131,226.86113050000003,224.5034681,240.7236075,237.41709080000004,253.11532409999998,295.5037267
2018-01-06,319.92874789999996,312.9181153,356.6775361,398.8243288,435.6542865,407.4239686,395.5647435,415.4855065,381.45210130000004,376.20504980000004,388.93785289999994,434.52363629999996,453.32164969999997,461.9455432,498.90334400000006,494.9809873,416.78921180000003,359.31786969999996,365.46110600000003,500.18425329999997,516.8467754,501.9322716,507.23371280000003,550.1168735
2018-01-07,576.7594761,582.4353304,536.1514531,532.4233046,504.26300860000003,508.48861229999994,506.0037454,505.4189655,528.9128085,498.14582469999993,480.9478235,510.9869783,486.6174606000001,535.2123312,504.6755295,531.8593748,542.0953046,530.4493932,497.4532661,543.20408,629.2495371,633.4215088,628.4642769999999,631.3341365
2018-01-08,583.1143794,526.5946609,520.6238296,518.2519704,523.8926786000001,522.7411156000001,523.2318807,519.9272376,523.9037904,560.9649943,578.3623502,607.1920848,615.7079079,576.4248279,548.6687532000001,538.4122629,539.2007861000001,500.366012,593.5795646,630.9564182,632.9272006,633.6180094,628.1724347,596.65873
2018-01-09,571.6277087000001,560.445859,514.0113586,514.0427121,518.5559255,508.49520250000006,518.7552581,516.8616585,566.2152894,606.891508,671.0324624,748.081475,698.2748569,702.1569777000001,683.0646619,673.8208128,670.8253425,738.3756132,697.1131837,665.6018497,669.984933,650.2355444,616.9490854,614.5811611
2018-01-10,613.978446,570.7091616,537.366125,479.2870704,456.4157716,455.9567678,419.9130987,422.567695,420.1002758,513.0946593,500.0827051,544.2789757,590.9254272999999,543.8422105000001,547.0446637,506.1719097,490.8165982,492.7099223,541.8643352000001,607.6648669,638.1438851,627.2741326,606.9554046000001,641.2104922999999
2018-01-11,630.8817322000001,529.7078993,542.8380639,508.49528669999995,513.8648325,507.19302999999996,497.92451639999996,495.3320214,506.56658250000004,539.5128358,563.4265246,517.7009952999999,519.2724344,514.617336,522.1855856999999,522.1117843999999,619.1483955,534.4504546000001,527.5961824,571.0154081000001,600.8519715,582.9236621,386.7429759,302.2752789
2018-01-12,267.48807239999996,307.65706339999997,279.2464408,236.52260249999998,179.920895,195.20359340000002,239.0514367,238.7853826,235.1067286,241.8944699,243.4944739,235.3916929,250.10068859999998,213.37418689999998,227.72155669999998,208.22088440000002,157.76227319999998,161.6621024,174.2330882,164.9933514,126.5687364,133.5762318,135.94190369999998,135.52799069999998
2018-01-13,101.9273254,107.2854632,100.09513390000001,98.21851640000001,127.5063358,159.6753761,192.6093264,274.4085609,306.10315360000004,306.6318068,297.6038135,322.7741358,402.5482077,495.7934828,503.92387479999996,499.7301477,518.7540958000001,548.8198169,550.8020653,600.3916974,657.4033218999999,682.9591482000001,732.9192198,734.6054512000001
2018-01-14,668.1973527000001,527.4773844,491.04168269999997,496.6050233,455.6525557,223.22388270000002,329.8870701,385.0750668,382.01219100000003,456.4036353,426.66439330000003,425.30318700000004,400.37638960000004,390.24192220000003,456.06500589999996,398.366172,447.53443480000004,432.56629189999995,513.1827865,606.549287,479.61277570000004,434.00485660000004,272.08734810000004,170.8370246
2018-01-15,102.4449,100.6443837,109.9119082,182.1974774,392.993454,476.5927743,499.8523259,506.38958669999994,503.2279763,521.3165671,535.7294494,541.8768721,554.5879342999999,561.8259749,558.2943587999999,509.37176889999995,320.77159989999996,208.021825,230.53870099999997,370.4747026,383.4853379,414.8524722,364.5577444,311.58952769999996
2018-01-16,312.5200042,285.43891260000004,211.34863650000003,191.64823,206.4318345,192.9534281,131.8418467,123.82573020000001,110.7923963,115.18989509999999,95.86464361,98.15020423,107.3895624,118.5756663,148.4723459,154.6530497,158.6017105,209.82037689999999,202.9859219,240.8314739,347.80153870000004,388.1951143,397.3655382,451.0652454
2018-01-17,539.0082927999999,550.1092601,544.0474687999999,515.735176,519.9238805,552.5192857000001,542.8745082,505.8449186000001,486.41446799999994,470.4243004,498.8777081,460.20112850000004,560.763137,561.1426725,553.3798941,342.2538229,457.7678116,390.54202610000004,311.99037610000005,320.5406749,301.1711745,325.21410519999995,361.4712904,432.43021289999996
2018-01-18,433.44762829999996,419.3360924,405.9846758,378.46984889999993,378.5358706,379.9016757,363.9516628,400.5464039,374.3839205,325.3419791,312.0251363,404.4346613,450.41635260000004,484.2913273,456.76780410000003,450.28088449999996,481.11387659999997,474.83268760000004,414.7856478,402.11222260000005,409.0595335,410.63054460000006,404.81584710000004,510.6074132
2018-01-19,537.4084489,549.0148296,477.7485348,539.058763,499.863527,500.4603937,443.6746172,407.290486,398.8635387,391.2804115,324.84299869999995,329.0109399,321.99084619999996,279.3073354,259.9880809,251.64535980000002,224.08253050000002,172.197278,120.6020568,105.1777115,156.09966880000002,231.8451494,225.2549571,225.67697909999998
2018-01-20,227.66011290000003,229.84207719999998,225.79905159999998,230.5672976,225.7268133,223.6134124,225.8597954,217.59567180000005,217.40259930000002,226.3929148,187.10169240000002,231.5097325,252.8704525,266.6714577,267.9677587,247.57306359999998,259.8248001,230.2846885,201.1012342,190.56812309999998,244.8096859,243.2915411,239.90496349999998,220.3441909
2018-01-21,218.86316200000002,102.5072415,140.6484364,142.73002150000002,144.8679606,146.0134228,155.22955359999997,153.595911,151.3587159,147.94967219999998,153.1175698,187.2498742,253.18075019999998,243.06333250000003,207.3966797,188.9743273,202.28476909999998,220.1357227,202.3676467,197.2688397,216.6173476,226.7656956,207.43990290000002,162.4669367
2018-01-22,141.84529880000002,131.3498894,118.79421979999998,111.60369209999999,99.24773766,104.6785216,119.09251979999999,116.75937140000002,106.6952115,126.55314890000001,154.5712486,159.26055269999998,183.54089380000002,224.136261,203.83804640000002,184.14573059999998,183.7058968,167.2374132,144.2592298,272.28307060000003,342.02632739999996,365.70707810000005,343.29115950000005,365.73950160000004
2018-01-23,337.9888461,305.4298493,327.242722,339.4067997,312.5367201,318.5467427,371.6849084,339.1553264,395.3186147,450.7091717,454.5271649,450.94072069999993,453.81591060000005,467.71904589999997,497.34115760000003,415.4189913,439.58813430000004,419.66130610000005,406.0866229,542.5809667000001,628.1387323,589.7422897999999,546.4582161000001,476.74551759999997
2018-01-24,436.46756669999996,379.6606386,351.5599161,327.1822017,277.3011702,258.7489403,225.6649937,229.42137659999997,213.03592709999998,208.87052580000002,201.9584528,201.7951372,221.62734840000002,252.51630260000002,314.6669663,381.3142841,365.4614147,328.3634389,321.0755508,254.5702285,209.7919733,194.9288379,209.2003559,240.06656580000003
2018-01-25,227.0100009,212.71489069999996,188.5908802,188.5382159,191.91776869999998,191.4286315,186.25958390000002,179.3780596,177.3730668,171.89637630000001,180.34361719999998,218.9835642,227.2398348,228.7196012,316.3351528,338.2919361,341.9421003,399.55990519999995,426.6945926,490.94581439999996,505.45467249999996,474.6913,428.61847800000004,426.2687669
